counter,steering_horizontal,steering_vertical,short_fname
1,nothing,nothing,img_1_ripeno.jpg
2,nothing,up,img_2_ripeno.jpg
3,nothing,up,img_3_ripeno.jpg
4,nothing,up,img_4_ripeno.jpg
5,nothing,up,img_5_ripeno.jpg
6,nothing,up,img_6_ripeno.jpg
7,nothing,up,img_7_ripeno.jpg
8,nothing,up,img_8_ripeno.jpg
9,left,up,img_9_ripeno.jpg
10,left,up,img_10_ripeno.jpg
11,nothing,up,img_11_ripeno.jpg
12,nothing,up,img_12_ripeno.jpg
13,nothing,up,img_13_ripeno.jpg
14,nothing,up,img_14_ripeno.jpg
15,nothing,up,img_15_ripeno.jpg
16,nothing,up,img_16_ripeno.jpg
17,left,up,img_17_ripeno.jpg
18,left,up,img_18_ripeno.jpg
19,nothing,nothing,img_19_ripeno.jpg
20,nothing,nothing,img_20_ripeno.jpg
21,nothing,nothing,img_21_ripeno.jpg
22,nothing,nothing,img_22_ripeno.jpg
23,nothing,up,img_23_ripeno.jpg
24,nothing,up,img_24_ripeno.jpg
25,nothing,up,img_25_ripeno.jpg
26,nothing,up,img_26_ripeno.jpg
27,nothing,up,img_27_ripeno.jpg
28,right,up,img_28_ripeno.jpg
29,nothing,up,img_29_ripeno.jpg
30,nothing,up,img_30_ripeno.jpg
31,nothing,up,img_31_ripeno.jpg
32,nothing,up,img_32_ripeno.jpg
33,left,nothing,img_33_ripeno.jpg
34,left,nothing,img_34_ripeno.jpg
35,nothing,up,img_35_ripeno.jpg
36,nothing,up,img_36_ripeno.jpg
37,nothing,up,img_37_ripeno.jpg
38,nothing,up,img_38_ripeno.jpg
39,nothing,up,img_39_ripeno.jpg
40,nothing,up,img_40_ripeno.jpg
41,nothing,up,img_41_ripeno.jpg
42,nothing,up,img_42_ripeno.jpg
43,nothing,up,img_43_ripeno.jpg
44,nothing,up,img_44_ripeno.jpg
45,nothing,up,img_45_ripeno.jpg
46,left,nothing,img_46_ripeno.jpg
47,left,nothing,img_47_ripeno.jpg
