counter,steering_horizontal,steering_vertical,short_fname,horizontal_override
1.0,nothing,nothing,img_1_kweym3.jpg,nothing
2.0,nothing,nothing,img_2_kweym3.jpg,nothing
3.0,nothing,nothing,img_3_kweym3.jpg,nothing
4.0,nothing,nothing,img_4_kweym3.jpg,nothing
5.0,nothing,nothing,img_5_kweym3.jpg,nothing
6.0,nothing,nothing,img_6_kweym3.jpg,nothing
7.0,nothing,nothing,img_7_kweym3.jpg,nothing
8.0,nothing,nothing,img_8_kweym3.jpg,nothing
9.0,nothing,up,img_9_kweym3.jpg,nothing
10.0,nothing,up,img_10_kweym3.jpg,nothing
11.0,nothing,up,img_11_kweym3.jpg,nothing
12.0,nothing,up,img_12_kweym3.jpg,nothing
13.0,nothing,up,img_13_kweym3.jpg,nothing
14.0,nothing,up,img_14_kweym3.jpg,nothing
15.0,nothing,up,img_15_kweym3.jpg,nothing
16.0,nothing,up,img_16_kweym3.jpg,nothing
17.0,nothing,up,img_17_kweym3.jpg,nothing
18.0,nothing,nothing,img_18_kweym3.jpg,nothing
19.0,nothing,nothing,img_19_kweym3.jpg,nothing
20.0,nothing,nothing,img_20_kweym3.jpg,nothing
21.0,nothing,nothing,img_21_kweym3.jpg,nothing
22.0,nothing,nothing,img_22_kweym3.jpg,nothing
23.0,right,nothing,img_23_kweym3.jpg,right
24.0,right,nothing,img_24_kweym3.jpg,right
25.0,nothing,nothing,img_25_kweym3.jpg,nothing
26.0,nothing,nothing,img_26_kweym3.jpg,nothing
27.0,nothing,up,img_27_kweym3.jpg,nothing
28.0,right,up,img_28_kweym3.jpg,right
29.0,right,up,img_29_kweym3.jpg,right
30.0,right,up,img_30_kweym3.jpg,right
31.0,right,up,img_31_kweym3.jpg,right
32.0,right,up,img_32_kweym3.jpg,right
33.0,right,up,img_33_kweym3.jpg,right
34.0,right,up,img_34_kweym3.jpg,right
35.0,right,up,img_35_kweym3.jpg,right
36.0,right,nothing,img_36_kweym3.jpg,right
37.0,right,nothing,img_37_kweym3.jpg,right
38.0,right,up,img_38_kweym3.jpg,right
39.0,right,up,img_39_kweym3.jpg,right
40.0,right,up,img_40_kweym3.jpg,right
41.0,right,up,img_41_kweym3.jpg,right
42.0,right,up,img_42_kweym3.jpg,right
43.0,right,up,img_43_kweym3.jpg,right
44.0,right,up,img_44_kweym3.jpg,right
45.0,right,up,img_45_kweym3.jpg,right
46.0,right,up,img_46_kweym3.jpg,right
47.0,right,up,img_47_kweym3.jpg,right
48.0,right,up,img_48_kweym3.jpg,right
49.0,right,up,img_49_kweym3.jpg,right
50.0,right,nothing,img_50_kweym3.jpg,right
51.0,right,nothing,img_51_kweym3.jpg,right
52.0,right,up,img_52_kweym3.jpg,right
53.0,right,up,img_53_kweym3.jpg,right
54.0,right,up,img_54_kweym3.jpg,right
55.0,right,up,img_55_kweym3.jpg,right
56.0,right,nothing,img_56_kweym3.jpg,right
57.0,right,nothing,img_57_kweym3.jpg,right
58.0,right,nothing,img_58_kweym3.jpg,right
59.0,right,nothing,img_59_kweym3.jpg,right
60.0,right,up,img_60_kweym3.jpg,right
61.0,right,up,img_61_kweym3.jpg,right
62.0,right,up,img_62_kweym3.jpg,right
63.0,right,up,img_63_kweym3.jpg,right
64.0,right,up,img_64_kweym3.jpg,right
65.0,right,up,img_65_kweym3.jpg,right
66.0,right,up,img_66_kweym3.jpg,right
67.0,right,up,img_67_kweym3.jpg,right
