counter,steering_horizontal,steering_vertical,short_fname
1,nothing,nothing,img_1_kweym3.jpg
2,nothing,nothing,img_2_kweym3.jpg
3,nothing,nothing,img_3_kweym3.jpg
4,nothing,nothing,img_4_kweym3.jpg
5,nothing,nothing,img_5_kweym3.jpg
6,nothing,nothing,img_6_kweym3.jpg
7,nothing,nothing,img_7_kweym3.jpg
8,nothing,nothing,img_8_kweym3.jpg
9,nothing,up,img_9_kweym3.jpg
10,nothing,up,img_10_kweym3.jpg
11,nothing,up,img_11_kweym3.jpg
12,nothing,up,img_12_kweym3.jpg
13,nothing,up,img_13_kweym3.jpg
14,nothing,up,img_14_kweym3.jpg
15,nothing,up,img_15_kweym3.jpg
16,nothing,up,img_16_kweym3.jpg
17,nothing,up,img_17_kweym3.jpg
18,nothing,nothing,img_18_kweym3.jpg
19,nothing,nothing,img_19_kweym3.jpg
20,nothing,nothing,img_20_kweym3.jpg
21,nothing,nothing,img_21_kweym3.jpg
22,nothing,nothing,img_22_kweym3.jpg
23,nothing,nothing,img_23_kweym3.jpg
24,nothing,nothing,img_24_kweym3.jpg
25,nothing,nothing,img_25_kweym3.jpg
26,right,nothing,img_26_kweym3.jpg
27,right,up,img_27_kweym3.jpg
28,nothing,up,img_28_kweym3.jpg
29,nothing,up,img_29_kweym3.jpg
30,nothing,up,img_30_kweym3.jpg
31,nothing,up,img_31_kweym3.jpg
32,nothing,up,img_32_kweym3.jpg
33,nothing,up,img_33_kweym3.jpg
34,nothing,up,img_34_kweym3.jpg
35,nothing,up,img_35_kweym3.jpg
36,nothing,nothing,img_36_kweym3.jpg
37,nothing,nothing,img_37_kweym3.jpg
38,nothing,up,img_38_kweym3.jpg
39,nothing,up,img_39_kweym3.jpg
40,nothing,up,img_40_kweym3.jpg
41,nothing,up,img_41_kweym3.jpg
42,nothing,up,img_42_kweym3.jpg
43,nothing,up,img_43_kweym3.jpg
44,right,up,img_44_kweym3.jpg
45,right,up,img_45_kweym3.jpg
46,nothing,up,img_46_kweym3.jpg
47,nothing,up,img_47_kweym3.jpg
48,nothing,up,img_48_kweym3.jpg
49,nothing,up,img_49_kweym3.jpg
50,nothing,nothing,img_50_kweym3.jpg
51,nothing,nothing,img_51_kweym3.jpg
52,nothing,up,img_52_kweym3.jpg
53,right,up,img_53_kweym3.jpg
54,right,up,img_54_kweym3.jpg
55,right,up,img_55_kweym3.jpg
56,nothing,nothing,img_56_kweym3.jpg
